centroid_x,centroid_y,centroid_z
780.0,780.0,291.0
755.0819277683682,482.67050622472806,251.0000000000002
309.96694087948725,1002.7216852426949,608.0000000000002
315.2398067073465,1002.8096825075379,587.0
751.6213084113767,481.6833193135746,251.00000000000026
313.5831288542531,1002.6738441920754,608.0379746835446
755.313025299198,479.39431536471193,251.00000000000023
315.2609609911613,1006.4728716473505,601.0
752.137358790672,478.1099542968951,251.0000000000002
311.21837955816477,1006.1298787154099,608.9277108433738
