ncols	53
nrows	53
xllcorner	346115.620512
yllcorner	2645254.507895
cellsize	30.000000
NODATA_value	-32768.000000
39	37	39	43	47	50	55	60	63	66	63	58	57	55	53	49	43	38	31	28	27	26	24	21	19	17	16	14	11	10	9	8	10	15	18	18	16	14	12	15	19	19	15	14	16	20	21	20	19	19	20	21	21
39	37	39	43	47	50	55	60	63	66	63	58	57	55	53	49	43	38	31	28	27	26	24	21	19	17	16	14	11	10	9	8	10	15	18	18	16	14	12	15	19	19	15	14	16	20	21	20	19	19	20	21	21
39	37	39	43	47	50	55	60	63	66	63	58	57	55	53	49	43	38	31	28	27	26	24	21	19	17	16	14	11	10	9	8	10	15	18	18	16	14	12	15	19	19	15	14	16	20	21	20	19	19	20	21	21
46	42	41	41	43	44	45	45	45	44	42	39	36	34	31	24	18	18	17	16	16	16	15	12	9	8	8	7	6	5	7	11	12	15	17	18	17	15	13	17	20	20	18	19	20	24	24	23	21	22	23	24	24
49	43	42	42	42	42	41	39	36	34	30	26	22	21	19	14	11	13	13	11	11	9	9	7	5	4	4	4	4	5	8	14	15	16	18	18	18	17	15	16	19	21	21	22	23	25	25	24	23	24	25	26	26
50	46	45	43	40	39	36	32	28	25	20	16	11	9	8	8	8	9	8	6	5	2	1	1	1	1	1	3	5	7	12	16	17	17	18	18	20	21	19	18	20	23	26	26	26	27	27	26	26	26	27	28	28
52	47	43	39	36	35	32	29	26	20	14	12	8	5	5	4	4	4	3	1	0	359	358	357	360	3	4	6	9	12	16	18	18	18	19	20	22	25	25	24	22	23	29	30	31	30	29	28	27	28	28	28	28
53	46	42	37	34	32	28	26	24	14	10	8	5	3	2	2	0	1	360	358	358	359	359	359	0	4	6	10	14	17	19	20	20	19	21	23	25	28	28	27	24	23	28	30	30	31	30	29	27	28	28	28	28
52	46	43	38	32	28	22	17	14	8	4	3	1	1	360	358	357	357	358	357	358	1	5	5	3	6	10	18	24	24	22	21	21	22	24	27	28	31	31	30	26	23	24	28	30	32	32	31	29	30	31	32	32
52	46	41	35	28	22	11	7	8	8	5	3	2	2	1	360	357	357	360	1	2	7	11	11	9	11	16	22	26	26	24	22	22	24	28	30	29	31	32	31	28	25	24	27	31	34	35	34	33	33	33	36	36
53	45	39	32	23	17	6	3	5	9	7	5	2	2	3	4	360	358	2	7	8	10	15	16	15	17	20	23	25	26	26	26	25	27	31	33	31	32	34	34	30	28	25	28	32	35	37	36	34	34	34	36	36
52	42	34	24	17	13	6	0	2	7	9	7	5	5	7	8	5	6	9	13	12	12	16	18	21	22	22	24	26	28	30	31	28	28	31	33	30	33	36	38	35	32	29	31	34	38	39	38	36	37	37	38	38
50	37	28	19	14	12	7	3	2	5	8	10	11	11	10	12	15	15	16	15	15	15	18	19	22	21	21	23	27	29	32	32	31	28	31	31	29	31	34	38	38	36	33	33	36	40	42	41	41	41	40	39	39
