sensor_x,sensor_y,sensor_z
498.6325201086134,452.58134305898824,309.0
498.871353772535,452.70298943401286,309.0
498.89771534650805,452.47933779405867,309.0
498.87721458489216,452.4564159852472,309.0
498.1702370922355,452.35538998198325,309.0
498.6438959190919,452.953297333032,309.0
498.2325393531889,452.94955181418635,309.0
498.3385444639553,452.1937834439509,309.0
498.4798714967373,452.6236937131699,309.0
498.7578534774991,452.99833934570967,309.0
498.13846349814935,453.0737364016067,309.0
498.1362051286923,452.9191957251273,309.0
498.86457354411573,452.691363734511,309.0
499.0051332729564,452.5819095740105,309.0
498.96542618305386,452.92380630877204,309.0
498.47556950194337,452.7640941864905,309.0
499.1209267446693,452.6919342661458,309.0
498.2667158473225,452.68944146750056,309.0
498.2550426731899,452.1759856380089,309.0
498.4681174568867,452.27806802202764,309.0
498.701899466537,452.55959674080333,309.0
498.4507954781008,452.8946320059767,309.0
498.66200272075037,452.9460591234022,309.0
498.5796014252429,452.9606022682028,309.0
498.39405519299766,452.84982468066715,309.0
499.07818279793986,452.9049679508349,309.0
498.46098716417976,452.2171552621466,309.0
498.2197193936878,452.4482213412257,309.0
499.01491732455145,452.11970305113533,309.0
499.0976346983173,452.8446858907179,309.0
498.4916881916538,452.8358134062948,309.0
499.0998188303246,453.0375004262927,309.0
498.5404169625675,452.2666225101226,309.0
499.0753681280108,452.77188069214066,309.0
498.4371413565946,452.87883922173387,309.0
498.78161520360226,453.03357571624207,309.0
498.54199686452756,452.62315885816,309.0
498.8706630693829,452.3170097182684,309.0
498.5845607553802,452.8649478026877,309.0
498.32862908501426,452.331913302612,309.0
499.12154803163423,452.45746594085324,309.0
498.4429923608615,452.45747155724575,309.0
498.36727441104784,452.08635081033765,309.0
498.1898689679916,452.4297791781735,309.0
499.02899450459677,452.8179874296845,309.0
498.2322007840537,452.946286814978,309.0
498.9176481065297,452.15496385451416,309.0
498.64769359970427,452.81714665177174,309.0
498.2172284748685,452.3003602538027,309.0
498.79487179173907,452.9075721571163,309.0
498.95919566675695,452.43909037258595,309.0
498.95036581109537,452.440298562716,309.0
498.2593588320938,453.00701984644235,309.0
498.7478116237804,452.8136974885409,309.0
498.6643317958604,452.4541997921385,309.0
499.11955859742494,452.90187248481703,309.0
498.3738585313989,452.4640730206187,309.0
498.33052429395036,452.36600172237485,309.0
498.41118320847977,453.0770508295849,309.0
498.3329518648823,452.8923126531239,309.0
498.61052245815097,452.84106806568377,309.0
498.6349174900609,452.13445039228213,309.0
498.87726022445656,452.22152805914294,309.0
499.09907972260936,452.7896729085709,309.0
498.1828917996888,452.5827669405008,309.0
498.2264430532783,452.33767215677796,309.0
498.7426536561927,452.25351788130683,309.0
498.3236587386014,452.2718801138557,309.0
499.0293607607367,452.4648759587381,309.0
498.95781078524254,452.5627073392656,309.0
