"[[780.0, 780.0, 330.0], [788.480319003436, 778.0440462687443, 330.0], [796.9606380068719, 776.0880925374886, 314.0], [805.4409570103077, 774.1321388062327, 314.0], [813.9212760137436, 772.176185074977, 314.0], [822.4015950171796, 770.2202313437213, 314.0], [830.8819140206156, 768.2642776124655, 303.0], [839.3622330240513, 766.3083238812096, 303.0], [847.8425520274873, 764.3523701499539, 298.0], [856.3228710309232, 762.3964164186982, 290.0], [864.8031900343592, 760.4404626874425, 290.0], [873.283509037795, 758.4845089561866, 290.0], [881.7638280412309, 756.5285552249309, 290.0], [890.2441470446669, 754.5726014936752, 279.0], [898.7244660481027, 752.6166477624193, 279.0], [907.2047850515387, 750.6606940311636, 279.0], [915.6851040549745, 748.7047402999078, 260.0], [924.1654230584105, 746.7487865686521, 260.0], [932.6457420618464, 744.7928328373963, 260.0], [941.1260610652823, 742.8368791061406, 260.0]]",0,1
"[[780.0, 780.0, 330.0], [759.4379016968658, 762.895026783118, 341.0], [738.8758033937314, 745.7900535662361, 341.0], [718.313705090597, 728.6850803493539, 332.0], [697.7516067874627, 711.5801071324721, 329.0], [677.1895084843285, 694.4751339155902, 313.0], [656.6274101811941, 677.3701606987081, 317.0], [636.0653118780598, 660.2651874818262, 316.0], [615.5032135749256, 643.1602142649442, 311.0], [594.9411152717912, 626.0552410480623, 320.0], [574.379016968657, 608.9502678311802, 336.0], [553.8169186655225, 591.8452946142982, 340.0], [533.2548203623883, 574.7403213974162, 344.0], [512.6927220592539, 557.6353481805343, 352.0], [492.13062375611963, 540.5303749636523, 364.0], [471.56852545298534, 523.4254017467704, 368.0], [451.006427149851, 506.3204285298884, 370.0], [430.4443288467167, 489.2154553130064, 383.0], [409.8822305435824, 472.11048209612443, 383.0], [389.32013224044806, 455.0055088792424, 392.0]]",0,2
"[[941.1260610652823, 742.8368791061406, 260.0], [932.6457420618465, 744.7928328373964, 260.0], [924.1654230584105, 746.7487865686521, 260.0], [915.6851040549745, 748.7047402999078, 260.0], [907.2047850515387, 750.6606940311636, 279.0], [898.7244660481028, 752.6166477624195, 279.0], [890.2441470446669, 754.5726014936752, 279.0], [881.7638280412309, 756.5285552249309, 290.0], [873.283509037795, 758.4845089561866, 290.0], [864.8031900343592, 760.4404626874425, 290.0], [856.3228710309231, 762.3964164186982, 290.0], [847.8425520274873, 764.3523701499539, 298.0], [839.3622330240514, 766.3083238812096, 303.0], [830.8819140206156, 768.2642776124655, 303.0], [822.4015950171796, 770.2202313437213, 314.0], [813.9212760137436, 772.176185074977, 314.0], [805.4409570103077, 774.1321388062327, 314.0], [796.9606380068719, 776.0880925374886, 314.0], [788.480319003436, 778.0440462687443, 330.0], [780.0, 780.0, 330.0]]",1,0
"[[941.1260610652823, 742.8368791061406, 260.0], [912.0836437587121, 727.6878596205144, 264.0], [883.0412264521419, 712.5388401348882, 275.0], [853.9988091455716, 697.3898206492619, 270.0], [824.9563918390014, 682.2408011636358, 292.0], [795.9139745324312, 667.0917816780095, 272.0], [766.871557225861, 651.9427621923833, 286.0], [737.8291399192907, 636.793742706757, 276.0], [708.7867226127205, 621.6447232211308, 282.0], [679.7443053061504, 606.4957037355047, 286.0], [650.7018879995801, 591.3466842498784, 297.0], [621.6594706930099, 576.1976647642522, 312.0], [592.6170533864397, 561.0486452786259, 329.0], [563.5746360798694, 545.8996257929998, 342.0], [534.5322187732992, 530.7506063073736, 347.0], [505.489801466729, 515.6015868217473, 362.0], [476.4473841601588, 500.4525673361211, 368.0], [447.4049668535885, 485.30354785049485, 369.0], [418.3625495470183, 470.15452836486867, 383.0], [389.32013224044806, 455.0055088792424, 392.0]]",1,2
"[[389.32013224044806, 455.0055088792424, 392.0], [409.88223054358235, 472.11048209612443, 383.0], [430.4443288467167, 489.2154553130064, 383.0], [451.00642714985094, 506.3204285298883, 370.0], [471.56852545298534, 523.4254017467704, 368.0], [492.13062375611963, 540.5303749636523, 364.0], [512.6927220592539, 557.6353481805343, 352.0], [533.2548203623883, 574.7403213974162, 344.0], [553.8169186655225, 591.8452946142982, 340.0], [574.3790169686569, 608.9502678311802, 336.0], [594.9411152717912, 626.0552410480622, 320.0], [615.5032135749256, 643.1602142649442, 311.0], [636.0653118780598, 660.2651874818262, 316.0], [656.6274101811941, 677.3701606987081, 317.0], [677.1895084843284, 694.47513391559, 313.0], [697.7516067874627, 711.5801071324721, 329.0], [718.313705090597, 728.6850803493539, 332.0], [738.8758033937314, 745.7900535662361, 341.0], [759.4379016968657, 762.895026783118, 341.0], [780.0, 780.0, 330.0]]",2,0
"[[389.32013224044806, 455.0055088792424, 392.0], [418.36254954701826, 470.1545283648687, 383.0], [447.4049668535885, 485.30354785049485, 369.0], [476.44738416015866, 500.4525673361211, 368.0], [505.489801466729, 515.6015868217473, 362.0], [534.5322187732992, 530.7506063073736, 347.0], [563.5746360798694, 545.8996257929998, 342.0], [592.6170533864396, 561.0486452786258, 329.0], [621.6594706930099, 576.1976647642522, 312.0], [650.7018879995801, 591.3466842498784, 297.0], [679.7443053061503, 606.4957037355047, 286.0], [708.7867226127205, 621.6447232211308, 282.0], [737.8291399192908, 636.793742706757, 276.0], [766.871557225861, 651.9427621923833, 286.0], [795.9139745324311, 667.0917816780094, 272.0], [824.9563918390014, 682.2408011636358, 292.0], [853.9988091455716, 697.389820649262, 270.0], [883.0412264521419, 712.5388401348882, 275.0], [912.083643758712, 727.6878596205144, 264.0], [941.1260610652823, 742.8368791061406, 260.0]]",2,1
