terrain_x,terrain_y,terrain_z
346970.62051192555,2646799.5078953276,512.0
347000.62051192555,2646799.5078953276,512.0
347030.62051192555,2646799.5078953276,512.0
347060.62051192555,2646799.5078953276,500.0
347090.62051192555,2646799.5078953276,481.0
347120.62051192555,2646799.5078953276,466.0
347150.62051192555,2646799.5078953276,450.0
347180.62051192555,2646799.5078953276,442.0
347210.62051192555,2646799.5078953276,422.0
347240.62051192555,2646799.5078953276,413.0
347270.62051192555,2646799.5078953276,401.0
347300.62051192555,2646799.5078953276,390.0
347330.62051192555,2646799.5078953276,378.0
347360.62051192555,2646799.5078953276,362.0
347390.62051192555,2646799.5078953276,346.0
347420.62051192555,2646799.5078953276,334.0
347450.62051192555,2646799.5078953276,320.0
347480.62051192555,2646799.5078953276,310.0
347510.62051192555,2646799.5078953276,293.0
347540.62051192555,2646799.5078953276,272.0
347570.62051192555,2646799.5078953276,263.0
347600.62051192555,2646799.5078953276,254.0
347630.62051192555,2646799.5078953276,242.0
347660.62051192555,2646799.5078953276,228.0
347690.62051192555,2646799.5078953276,218.0
346130.62051192555,2646769.5078953276,618.0
346160.62051192555,2646769.5078953276,620.0
346190.62051192555,2646769.5078953276,625.0
346220.62051192555,2646769.5078953276,633.0
346250.62051192555,2646769.5078953276,637.0
346280.62051192555,2646769.5078953276,639.0
346310.62051192555,2646769.5078953276,635.0
346340.62051192555,2646769.5078953276,630.0
346370.62051192555,2646769.5078953276,623.0
346400.62051192555,2646769.5078953276,614.0
346430.62051192555,2646769.5078953276,601.0
346460.62051192555,2646769.5078953276,584.0
346490.62051192555,2646769.5078953276,579.0
346520.62051192555,2646769.5078953276,573.0
346550.62051192555,2646769.5078953276,562.0
346580.62051192555,2646769.5078953276,557.0
346610.62051192555,2646769.5078953276,549.0
346640.62051192555,2646769.5078953276,544.0
346670.62051192555,2646769.5078953276,529.0
346700.62051192555,2646769.5078953276,523.0
346730.62051192555,2646769.5078953276,521.0
346760.62051192555,2646769.5078953276,522.0
346790.62051192555,2646769.5078953276,523.0
346820.62051192555,2646769.5078953276,517.0
346850.62051192555,2646769.5078953276,515.0
346880.62051192555,2646769.5078953276,516.0
346910.62051192555,2646769.5078953276,522.0
346940.62051192555,2646769.5078953276,524.0
346970.62051192555,2646769.5078953276,521.0
347000.62051192555,2646769.5078953276,520.0
347030.62051192555,2646769.5078953276,513.0
347060.62051192555,2646769.5078953276,496.0
347090.62051192555,2646769.5078953276,471.0
347120.62051192555,2646769.5078953276,455.0
347150.62051192555,2646769.5078953276,446.0
347180.62051192555,2646769.5078953276,434.0
347210.62051192555,2646769.5078953276,421.0
347240.62051192555,2646769.5078953276,411.0
347270.62051192555,2646769.5078953276,390.0
347300.62051192555,2646769.5078953276,375.0
347330.62051192555,2646769.5078953276,367.0
