terrain_x,terrain_y,terrain_z,wind_velocity,wind_angle
0.0,15307.1875,897.0,3.22,17
231.92708333331393,15307.1875,793.0,3.3,17
463.85416666662786,15307.1875,710.0,3.46,16
695.78125,15307.1875,877.0,3.61,16
927.7083333333139,15307.1875,863.0,3.76,14
1159.6354166666279,15307.1875,777.0,3.86,13
1391.5625,15307.1875,729.0,3.88,14
1623.489583333314,15307.1875,692.0,3.9,15
1855.4166666666279,15307.1875,795.0,3.96,16
2087.34375,15307.1875,874.0,4.0,16
2319.270833333314,15307.1875,993.0,4.04,17
2551.197916666628,15307.1875,1116.0,4.06,17
2783.125,15307.1875,1146.0,4.05,18
3015.052083333314,15307.1875,1194.0,4.0,18
3246.979166666628,15307.1875,1268.0,3.89,19
3478.90625,15307.1875,1358.0,3.72,21
3710.833333333314,15307.1875,1467.0,3.53,21
3942.760416666628,15307.1875,1633.0,3.39,21
4174.6875,15307.1875,1813.0,3.29,21
4406.614583333314,15307.1875,1853.0,3.23,21
4638.541666666628,15307.1875,1760.0,3.2,20
4870.46875,15307.1875,1695.0,3.22,19
5102.395833333314,15307.1875,1685.0,3.29,18
5334.322916666628,15307.1875,1621.0,3.38,18
5566.25,15307.1875,1528.0,3.47,18
5798.177083333314,15307.1875,1413.0,3.53,18
6030.104166666628,15307.1875,1462.0,3.57,18
6262.03125,15307.1875,1538.0,3.59,18
6493.958333333314,15307.1875,1579.0,3.61,18
6725.885416666628,15307.1875,1647.0,3.68,17
6957.8125,15307.1875,1738.0,3.78,16
7189.739583333314,15307.1875,1795.0,3.91,15
7421.666666666628,15307.1875,1936.0,4.02,15
7653.59375,15307.1875,2070.0,4.11,14
7885.520833333314,15307.1875,2055.0,4.18,14
8117.447916666628,15307.1875,1922.0,4.22,14
8349.375,15307.1875,1797.0,4.25,13
8581.302083333314,15307.1875,1657.0,4.27,12
8813.229166666628,15307.1875,1538.0,4.29,12
9045.15625,15307.1875,1256.0,4.32,13
9277.083333333314,15307.1875,1077.0,4.38,14
9509.010416666628,15307.1875,914.0,4.45,15
9740.9375,15307.1875,816.0,4.53,15
9972.864583333314,15307.1875,760.0,4.58,15
10204.791666666628,15307.1875,798.0,4.62,15
10436.71875,15307.1875,684.0,4.64,14
10668.645833333314,15307.1875,689.0,4.62,15
