sensor_x,sensor_y,sensor_z
342484.3000281945,2645785.4099705364,1899.0
345499.35211152787,2655062.49330387,1002.0
352689.0916948612,2645553.4828872033,54.0
342948.1541948612,2649264.3162205364,1125.0
350601.7479448612,2651351.6599705364,750.0
352921.01877819456,2657149.83705387,817.0
339701.1750281945,2648568.5349705364,1535.0
342020.44586152787,2644625.77455387,2048.0
342484.3000281945,2656685.9828872033,1294.0
353152.94586152787,2655526.3474705364,105.0
351065.60211152787,2647872.7537205364,83.0
344803.57086152787,2644625.77455387,804.0
348514.4041948612,2653207.0766372033,967.0
344803.57086152787,2647408.89955387,1425.0
348514.4041948612,2657149.83705387,858.0
341324.66461152787,2654598.6391372033,356.0
351761.38336152787,2650655.8787205364,179.0
341788.5187781945,2646481.1912205364,2156.0
346195.13336152787,2643234.21205387,479.0
344803.57086152787,2649264.3162205364,1014.0
350369.82086152787,2649728.1703872033,105.0
341092.7375281945,2642770.3578872033,2103.0
346427.0604448612,2656685.9828872033,1921.0
354544.50836152787,2653439.0037205364,44.0
347586.69586152787,2643234.21205387,140.0
351761.38336152787,2655062.49330387,281.0
353384.8729448612,2642538.43080387,22.0
353616.80002819456,2655990.2016372033,162.0
347354.7687781945,2644857.7016372033,288.0
354312.58127819456,2653670.93080387,47.0
342948.1541948612,2647408.89955387,1559.0
354544.50836152787,2649960.0974705364,46.0
339701.1750281945,2642538.43080387,1439.0
343643.9354448612,2648336.6078872033,1038.0
341092.7375281945,2650887.80580387,870.0
339701.1750281945,2656685.9828872033,587.0
349905.9666948612,2654598.6391372033,844.0
348746.3312781945,2642770.3578872033,71.0
341092.7375281945,2646713.11830387,1911.0
352689.0916948612,2650655.8787205364,59.0
348978.25836152787,2645553.4828872033,434.0
350833.67502819456,2646249.2641372033,69.0
347818.6229448612,2652511.2953872033,583.0
342948.1541948612,2650192.02455387,840.0
343180.0812781945,2652511.2953872033,752.0
341556.5916948612,2649960.0974705364,1039.0
344339.7166948612,2643698.0662205364,630.0
350369.82086152787,2653439.0037205364,717.0
353152.94586152787,2645785.4099705364,51.0
354312.58127819456,2654134.7849705364,53.0
344107.78961152787,2653902.8578872033,629.0
346890.91461152787,2656917.9099705364,2101.0
346195.13336152787,2647176.9724705364,562.0
345267.4250281945,2654366.71205387,926.0
354312.58127819456,2645321.55580387,36.0
354080.6541948612,2642770.3578872033,19.0
348282.47711152787,2642306.5037205364,86.0
339469.2479448612,2653670.93080387,1245.0
351761.38336152787,2650887.80580387,251.0
348514.4041948612,2649264.3162205364,114.0
340860.8104448612,2656454.05580387,939.0
353848.72711152787,2652975.14955387,45.0
339933.10211152787,2646481.1912205364,1671.0
350601.7479448612,2649728.1703872033,100.0
348978.25836152787,2649496.24330387,138.0
353848.72711152787,2656917.9099705364,653.0
348514.4041948612,2650423.9516372033,313.0
341788.5187781945,2643002.2849705364,1712.0
340165.0291948612,2648800.46205387,1164.0
354544.50836152787,2646249.2641372033,37.0
348514.4041948612,2657381.7641372033,1077.0
348514.4041948612,2657149.83705387,858.0
350369.82086152787,2653902.8578872033,772.0
349210.1854448612,2642538.43080387,55.0
339933.10211152787,2654598.6391372033,748.0
350601.7479448612,2654830.5662205364,779.0
341092.7375281945,2653902.8578872033,935.0
348746.3312781945,2650655.8787205364,320.0
346427.0604448612,2648800.46205387,660.0
348514.4041948612,2644625.77455387,144.0
346658.9875281945,2652975.14955387,1095.0
339701.1750281945,2657149.83705387,666.0
350601.7479448612,2652511.2953872033,753.0
341788.5187781945,2648104.68080387,1912.0
339469.2479448612,2651119.7328872033,926.0
350601.7479448612,2645785.4099705364,66.0
351761.38336152787,2642538.43080387,31.0
350601.7479448612,2645553.4828872033,63.0
351065.60211152787,2657381.7641372033,605.0
352921.01877819456,2654830.5662205364,76.0
351761.38336152787,2651583.58705387,317.0
343180.0812781945,2653670.93080387,330.0
354312.58127819456,2650887.80580387,42.0
348050.5500281945,2645785.4099705364,164.0
345035.4979448612,2651351.6599705364,551.0
340628.88336152787,2651351.6599705364,895.0
348978.25836152787,2647408.89955387,247.0
340860.8104448612,2645089.6287205364,1928.0
340396.9562781945,2643234.21205387,1809.0
351065.60211152787,2643698.0662205364,43.0
344107.78961152787,2645321.55580387,1347.0
341788.5187781945,2645785.4099705364,2380.0
342948.1541948612,2651583.58705387,295.0
348050.5500281945,2644393.8474705364,97.0
354544.50836152787,2642074.5766372033,78.0
350601.7479448612,2653670.93080387,654.0
342252.3729448612,2645553.4828872033,2018.0
345731.2791948612,2652279.36830387,494.0
351297.5291948612,2647640.8266372033,81.0
344803.57086152787,2652279.36830387,348.0
350137.8937781945,2644393.8474705364,49.0
348514.4041948612,2653439.0037205364,1089.0
348514.4041948612,2644393.8474705364,123.0
