"[[780.0, 780.0, 330.0], [778.9137302816299, 775.7290764462396, 330.0], [777.8274605632596, 771.458152892479, 330.0], [776.7411908448893, 767.1872293387183, 330.0], [775.6549211265192, 762.9163057849579, 328.0], [774.568651408149, 758.6453822311975, 328.0], [773.4823816897788, 754.3744586774369, 328.0], [772.3961119714086, 750.1035351236762, 328.0], [771.3098422530384, 745.8326115699158, 328.0], [770.2235725346682, 741.5616880161554, 328.0], [769.137302816298, 737.2907644623947, 328.0], [768.0510330979278, 733.0198409086341, 322.0], [766.9647633795576, 728.7489173548736, 322.0], [765.8784936611873, 724.4779938011131, 322.0], [764.7922239428171, 720.2070702473526, 328.0], [763.7059542244469, 715.936146693592, 328.0], [762.6196845060767, 711.6652231398316, 328.0], [761.5334147877065, 707.3942995860709, 328.0], [760.4471450693363, 703.1233760323105, 308.0], [759.3608753509661, 698.8524524785499, 308.0]]",0,1
"[[780.0, 780.0, 330.0], [803.9140411639897, 792.4431670915288, 314.0], [827.8280823279792, 804.8863341830574, 302.0], [851.7421234919688, 817.329501274586, 302.0], [875.6561646559585, 829.7726683661149, 298.0], [899.5702058199481, 842.2158354576437, 285.0], [923.4842469839377, 854.6590025491723, 270.0], [947.3982881479274, 867.102169640701, 264.0], [971.312329311917, 879.5453367322298, 264.0], [995.2263704759066, 891.9885038237586, 259.0], [1019.1404116398962, 904.4316709152873, 253.0], [1043.0544528038859, 916.8748380068159, 245.0], [1066.9684939678755, 929.3180050983447, 240.0], [1090.882535131865, 941.7611721898734, 240.0], [1114.7965762958547, 954.2043392814022, 230.0], [1138.7106174598443, 966.6475063729309, 225.0], [1162.624658623834, 979.0906734644595, 226.0], [1186.5386997878236, 991.5338405559883, 222.0], [1210.4527409518132, 1003.9770076475171, 222.0], [1234.3667821158028, 1016.4201747390458, 221.0]]",0,2
"[[780.0, 780.0, 330.0], [767.3279732751365, 787.5994889297932, 330.0], [754.6559465502729, 795.1989778595863, 352.0], [741.9839198254092, 802.7984667893793, 352.0], [729.3118931005457, 810.3979557191725, 367.0], [716.6398663756822, 817.9974446489657, 367.0], [703.9678396508186, 825.5969335787588, 390.0], [691.295812925955, 833.1964225085519, 390.0], [678.6237862010915, 840.795911438345, 390.0], [665.951759476228, 848.3954003681383, 401.0], [653.2797327513645, 855.9948892979314, 411.0], [640.6077060265008, 863.5943782277245, 416.0], [627.9356793016373, 871.1938671575176, 416.0], [615.2636525767737, 878.7933560873107, 416.0], [602.5916258519101, 886.3928450171038, 434.0], [589.9195991270466, 893.992333946897, 434.0], [577.247572402183, 901.59182287669, 452.0], [564.5755456773194, 909.1913118064832, 452.0], [551.9035189524559, 916.7908007362764, 479.0], [539.2314922275923, 924.3902896660695, 479.0]]",0,3
"[[759.3608753509661, 698.8524524785499, 308.0], [760.4471450693364, 703.1233760323105, 308.0], [761.5334147877065, 707.3942995860709, 328.0], [762.6196845060766, 711.6652231398315, 328.0], [763.7059542244469, 715.936146693592, 328.0], [764.7922239428171, 720.2070702473527, 328.0], [765.8784936611873, 724.4779938011131, 322.0], [766.9647633795576, 728.7489173548736, 322.0], [768.0510330979278, 733.0198409086341, 322.0], [769.137302816298, 737.2907644623947, 328.0], [770.2235725346682, 741.5616880161551, 328.0], [771.3098422530384, 745.8326115699158, 328.0], [772.3961119714086, 750.1035351236762, 328.0], [773.4823816897788, 754.3744586774369, 328.0], [774.568651408149, 758.6453822311973, 328.0], [775.6549211265192, 762.9163057849579, 328.0], [776.7411908448894, 767.1872293387183, 330.0], [777.8274605632596, 771.458152892479, 330.0], [778.9137302816298, 775.7290764462394, 330.0], [780.0, 780.0, 330.0]]",1,0
"[[759.3608753509661, 698.8524524785499, 308.0], [784.3611862333261, 715.5665431238392, 322.0], [809.3614971156858, 732.2806337691284, 311.0], [834.3618079980455, 748.9947244144176, 298.0], [859.3621188804054, 765.7088150597069, 295.0], [884.3624297627653, 782.4229057049963, 295.0], [909.3627406451251, 799.1369963502855, 286.0], [934.3630515274849, 815.8510869955746, 269.0], [959.3633624098447, 832.565177640864, 254.0], [984.3636732922046, 849.2792682861533, 251.0], [1009.3639841745644, 865.9933589314426, 253.0], [1034.3642950569242, 882.7074495767317, 253.0], [1059.364605939284, 899.421540222021, 247.0], [1084.3649168216439, 916.1356308673103, 240.0], [1109.3652277040037, 932.8497215125996, 232.0], [1134.3655385863635, 949.5638121578888, 225.0], [1159.3658494687234, 966.277902803178, 223.0], [1184.3661603510832, 982.9919934484673, 226.0], [1209.366471233443, 999.7060840937565, 222.0], [1234.3667821158028, 1016.4201747390458, 221.0]]",1,2
"[[759.3608753509661, 698.8524524785499, 308.0], [747.7751183444728, 710.7228649621036, 328.0], [736.1893613379794, 722.5932774456572, 328.0], [724.6036043314859, 734.4636899292109, 332.0], [713.0178473249927, 746.3341024127645, 350.0], [701.4320903184994, 758.2045148963183, 346.0], [689.846333312006, 770.074927379872, 367.0], [678.2605763055126, 781.9453398634255, 367.0], [666.6748192990193, 793.8157523469793, 370.0], [655.0890622925259, 805.686164830533, 388.0], [643.5033052860326, 817.5565773140866, 392.0], [631.9175482795391, 829.4269897976403, 407.0], [620.3317912730458, 841.2974022811939, 407.0], [608.7460342665524, 853.1678147647476, 414.0], [597.160277260059, 865.0382272483012, 426.0], [585.5745202535658, 876.9086397318549, 426.0], [573.9887632470724, 888.7790522154085, 452.0], [562.403006240579, 900.6494646989622, 452.0], [550.8172492340857, 912.5198771825159, 465.0], [539.2314922275923, 924.3902896660695, 479.0]]",1,3
"[[1234.3667821158028, 1016.4201747390458, 221.0], [1210.4527409518132, 1003.9770076475172, 222.0], [1186.5386997878236, 991.5338405559883, 222.0], [1162.624658623834, 979.0906734644595, 226.0], [1138.7106174598443, 966.6475063729309, 225.0], [1114.7965762958547, 954.2043392814023, 230.0], [1090.882535131865, 941.7611721898734, 240.0], [1066.9684939678755, 929.3180050983447, 240.0], [1043.0544528038859, 916.8748380068159, 245.0], [1019.1404116398962, 904.4316709152874, 253.0], [995.2263704759066, 891.9885038237585, 259.0], [971.312329311917, 879.5453367322298, 264.0], [947.3982881479274, 867.102169640701, 264.0], [923.4842469839377, 854.6590025491723, 270.0], [899.5702058199481, 842.2158354576436, 285.0], [875.6561646559585, 829.7726683661149, 298.0], [851.7421234919689, 817.3295012745862, 302.0], [827.8280823279792, 804.8863341830574, 302.0], [803.9140411639896, 792.4431670915287, 314.0], [780.0, 780.0, 330.0]]",2,0
"[[1234.3667821158028, 1016.4201747390458, 221.0], [1209.366471233443, 999.7060840937567, 222.0], [1184.3661603510832, 982.9919934484673, 226.0], [1159.3658494687234, 966.277902803178, 223.0], [1134.3655385863635, 949.5638121578888, 225.0], [1109.3652277040037, 932.8497215125997, 232.0], [1084.3649168216439, 916.1356308673103, 240.0], [1059.364605939284, 899.4215402220209, 247.0], [1034.3642950569242, 882.7074495767317, 253.0], [1009.3639841745644, 865.9933589314426, 253.0], [984.3636732922046, 849.2792682861533, 251.0], [959.3633624098447, 832.565177640864, 254.0], [934.3630515274849, 815.8510869955747, 269.0], [909.3627406451251, 799.1369963502855, 286.0], [884.3624297627653, 782.4229057049963, 295.0], [859.3621188804054, 765.7088150597069, 295.0], [834.3618079980456, 748.9947244144178, 298.0], [809.3614971156858, 732.2806337691284, 311.0], [784.361186233326, 715.5665431238392, 322.0], [759.3608753509661, 698.8524524785499, 308.0]]",2,1
"[[1234.3667821158028, 1016.4201747390458, 221.0], [1197.7807142269498, 1011.5764965773103, 225.0], [1161.1946463380964, 1006.7328184155746, 229.0], [1124.6085784492434, 1001.889140253839, 235.0], [1088.0225105603902, 997.0454620921034, 244.0], [1051.436442671537, 992.2017839303679, 250.0], [1014.8503747826837, 987.3581057686322, 253.0], [978.2643068938304, 982.5144276068966, 257.0], [941.6782390049773, 977.670749445161, 282.0], [905.0921711161242, 972.8270712834255, 291.0], [868.5061032272711, 967.9833931216899, 310.0], [831.9200353384178, 963.1397149599543, 330.0], [795.3339674495646, 958.2960367982187, 334.0], [758.7478995607114, 953.452358636483, 357.0], [722.1618316718582, 948.6086804747474, 391.0], [685.5757637830051, 943.7650023130119, 403.0], [648.9896958941519, 938.9213241512763, 422.0], [612.4036280052987, 934.0776459895408, 447.0], [575.8175601164455, 929.2339678278051, 462.0], [539.2314922275923, 924.3902896660695, 479.0]]",2,3
"[[539.2314922275923, 924.3902896660695, 479.0], [551.9035189524559, 916.7908007362764, 479.0], [564.5755456773194, 909.1913118064832, 452.0], [577.247572402183, 901.59182287669, 452.0], [589.9195991270466, 893.992333946897, 434.0], [602.5916258519101, 886.3928450171038, 434.0], [615.2636525767737, 878.7933560873107, 416.0], [627.9356793016373, 871.1938671575175, 416.0], [640.6077060265008, 863.5943782277245, 416.0], [653.2797327513645, 855.9948892979314, 411.0], [665.9517594762278, 848.3954003681381, 401.0], [678.6237862010915, 840.795911438345, 390.0], [691.295812925955, 833.1964225085519, 390.0], [703.9678396508186, 825.5969335787588, 390.0], [716.6398663756822, 817.9974446489657, 367.0], [729.3118931005457, 810.3979557191725, 367.0], [741.9839198254092, 802.7984667893793, 352.0], [754.6559465502729, 795.1989778595863, 352.0], [767.3279732751364, 787.5994889297931, 330.0], [780.0, 780.0, 330.0]]",3,0
